Netid, Fid, LB_FF
8, 194, 7.6385360706659355
8, 26, 6.493919407472058
8, 251, 1.0040340749422658
8, 247, 16.26866710640873
8, 158, 18.771384469298948
8, 122, 8.241054737526486
8, 74, 2.2799455917561
8, 124, 9.326688784418344
8, 259, 1.3626312739361035
8, 142, 6.260184213386914
8, 220, 5.277872170066315
8, 155, 2.8468568648036126
8, 109, 12.876339720093746
8, 73, 4.969730736711937
8, 136, 6.490372396791223
8, 114, 6.670507204395072
8, 219, 17.538540847845624
8, 152, 6.567585742432791
8, 266, 5.559134790704061
8, 249, 11.976222254245199
8, 153, 9.653632515911635
8, 5, 7.7590453458121935
8, 126, 7.558920128609666
8, 162, 7.0039710927504455
8, 141, 5.288765738065889
8, 187, 14.32583654919882
8, 107, 5.976777078508327
8, 123, 2.407876233447941
8, 170, 19.390618401953333
8, 264, 10.529893456486217
8, 148, 5.908808607781044
8, 258, 21.312541930969125
8, 77, 0.8822856409505218
8, 156, 12.876339720093746
8, 143, 8.500829821476259
8, 92, 1.0040340749422658
8, 57, 4.6245072853247295
8, 144, 4.038385897815337
8, 216, 12.09281997927527
8, 78, 11.77936113845288
8, 3, 0.8843339706050598
8, 185, 7.430913614679501
8, 16, 8.398461766319214
8, 221, 1.1147589668104114
8, 150, 8.764154375141556
8, 172, 1.4789572035377445
8, 147, 3.5573218869423293
8, 175, 3.2110659813476916
8, 35, 2.467326387099226
8, 42, 4.3924088463057025
8, 267, 9.544175899217787
8, 238, 7.558920128609666
8, 86, 20.315982027864187
8, 0, 7.781935150375574
8, 140, 28.343018136378276
8, 198, 2.10362939516811
8, 229, 6.683090095807908
8, 182, 5.559134790704061
8, 39, 2.8468568648036126
8, 115, 4.305798440645334
8, 99, 6.367730485126286
8, 116, 12.108499251605103
8, 268, 5.613272196828548
8, 248, 10.55444138600942
8, 32, 8.78186882380621
8, 191, 1.7142494958715886
8, 157, 9.488727042685746
8, 277, 11.976222254245199
8, 28, 7.083665521990952
8, 76, 10.326878977828361
8, 36, 12.722484253273018
8, 188, 7.5870813615618875
8, 108, 10.883465794359367
8, 278, 11.607309655760384
8, 227, 13.10476161785244
8, 232, 4.361255855130082
8, 270, 7.5074453497393465
8, 102, 1.366146615939631
8, 202, 15.296032334823558
8, 125, 12.877342987115135
8, 17, 0.935708735314282
8, 165, 3.7503381053227325
8, 254, 9.507470316455526
8, 222, 20.315982027864187
8, 196, 1.0227891106261975
8, 9, 20.106556624327748
8, 246, 9.729380555244788
8, 41, 13.831185304700742
8, 47, 2.892217899727069
8, 132, 28.459383776083385
8, 72, 6.577712404123409
8, 33, 12.722484253273018
8, 50, 6.070365357331832
